,Max Velocity,Avg Velocity,Avg Altitude Drop
2211,4795.2,4558.88,1614892.75
2212,5109.39,4764.79,1330234.81
2213,5113.4659999999985,4844.14,1471397.92
2214,4984.016,4609.33,1289802.74
2215,5307.917,4563.85,946036.15
2216,4622.169,4377.96,1688275.48
2217,4812.18,4567.66,1694534.52
2218,5634.149,5013.96,1032498.91
2219,5637.931,4939.26,986291.06
2220,5514.24,4852.32,1035490.18
2221,4919.464,4574.24,1536541.11
2222,5349.326999999998,4734.66,1127429.33
2223,5627.824000000001,4885.05,1010415.38
2224,4840.687,4444.69,1460162.32
2225,5134.412,4700.2,1409403.24
2226,5605.854,4898.77,1076216.68
2227,4864.246,4347.71,1337066.37
2228,5007.943,4514.66,1349825.32
2229,5235.861,4847.12,1473349.7
2230,5079.077,4697.32,1547159.9
2231,5361.353,4678.79,1165766.49
2232,4580.35,4333.65,2014078.06
2233,5211.134,4951.49,1820599.55
2234,5694.315,5111.93,1230284.68
2235,5562.2530000000015,4898.43,1208708.87
2236,4780.093,4305.74,1510695.29
2237,5517.185,4738.74,1163711.99
2238,5398.358,4776.38,1296563.88
2239,5225.184,4644.99,1403018.23
2240,4652.366,4414.09,2188975.65
2241,5834.949000000001,5172.6,1249862.02
2242,4638.509,4348.56,2111661.83
2243,5352.958000000001,4598.4,1273262.86
2244,5725.108,4982.4,1253981.44
2245,4929.155,4572.04,1890060.22
2246,5096.396,4617.74,1612083.46
2247,5715.281,4959.74,1289134.99
2248,4911.9,4460.44,1782824.32
2249,5319.123000000001,4709.02,1490296.82
2250,5805.13,5234.25,1457097.99
2251,5292.411,4476.22,1345038.52
2252,5698.975,4939.62,1364058.26
2253,4697.7440000000015,4368.24,2257903.21
2254,5369.757,4842.87,1685225.19
2255,4839.493,4443.46,1988728.06
2256,5448.1680000000015,4674.99,1405747.04
2257,5125.49,4605.18,1731845.55
2258,5906.556,5237.04,1479336.7
2259,5460.422,4873.85,1648428.63
2260,5453.235,4686.09,1468408.89
2261,5378.696,4647.94,1533224.11
2262,5797.985,5135.65,1552072.67
2263,4811.64,4455.23,2266800.98
2264,4894.638,4514.75,2178441.92
2265,5279.183000000001,4624.13,1686279.24
2266,4660.056,4417.06,2816842.41
2267,5064.545,4621.61,2040074.3
2268,5330.298000000002,5009.4,2327515.63
2269,5076.652,4578.42,1981772.82
2270,5515.8,4793.33,1629409.7
2271,5456.175,5031.42,2097002.06
