,Max Velocity,Avg Velocity
787,150.0,121.95
788,225.0,164.44
789,209.0,165.42
790,96.0,93.67
791,173.0,166.97
792,196.0,148.18
793,133.0,93.63
794,229.0,148.69
795,111.0,87.05
796,139.0,100.42
797,150.0,114.8
798,159.0,123.8
799,142.0,108.16
800,172.0,135.94
801,158.0,130.02
802,72.0,58.46
803,230.0,176.62
804,125.0,80.22
805,145.0,120.48
806,153.0,109.08
807,101.0,76.48
808,229.0,156.02
809,197.0,146.27
810,156.0,108.22
811,88.0,60.02
812,147.0,102.62
813,208.0,153.29
814,132.0,101.59
815,216.0,155.7
816,151.0,97.0
817,192.0,134.37
818,230.0,176.38
819,229.0,177.34
820,144.0,111.54
821,152.0,95.96
822,61.0,44.42
823,235.0,179.53
824,134.0,108.53
825,172.0,133.62
826,232.0,172.57
827,194.0,104.36
828,168.0,95.93
829,220.0,155.18
830,191.0,132.04
831,236.0,163.05
832,85.0,80.58
833,189.0,173.12
834,58.0,52.81
835,126.0,92.68
836,135.0,91.83
837,156.0,121.3
838,70.0,69.48
839,209.0,152.26
840,253.0,180.2
841,241.0,156.75
842,143.0,91.79
843,186.0,138.58
844,212.0,151.82
845,72.0,63.63
846,173.0,142.8
847,136.0,94.11
848,202.0,148.37
849,50.0,46.82
850,228.0,175.73
851,37.0,34.15
852,142.0,101.56
853,175.0,141.47
854,51.0,50.36
855,214.0,133.05
856,199.0,152.91
857,142.0,95.02
858,243.0,171.86
859,167.0,124.71
860,158.0,98.52
861,242.0,161.76
862,95.0,82.44
863,196.0,131.53
864,249.0,182.25
865,141.0,87.28
866,142.0,136.49
867,162.0,119.41
868,47.0,34.23
869,93.0,90.57
870,164.0,133.35
871,176.0,133.63
872,149.0,131.55
873,118.0,85.07
874,235.0,162.72
875,131.0,107.84
876,135.0,96.06
877,151.0,92.31
878,218.0,170.59
879,49.0,24.64
880,182.0,124.77
881,237.0,165.3
882,142.0,96.63
883,141.0,87.85
884,239.0,165.05
885,127.0,112.4
886,129.0,123.52
887,247.0,182.82
888,192.0,128.54
889,126.0,97.3
890,164.0,127.11
891,234.0,162.2
892,62.0,49.28
893,145.0,91.68
894,134.0,99.69
895,121.0,94.6
896,214.0,157.66
897,66.0,62.66
898,71.0,66.98
899,80.0,66.92
900,166.0,115.99
901,130.0,98.31
902,127.0,100.5
903,236.0,175.84
904,141.0,91.11
905,132.0,98.21
906,131.0,103.06
907,140.0,117.81
908,158.0,130.66
909,122.0,81.41
910,168.0,123.79
911,213.0,145.59
912,199.0,143.36
913,141.0,101.1
914,98.0,90.0
915,126.0,105.54
916,176.0,136.67
917,124.0,88.72
918,157.0,139.14
919,218.0,140.65
920,156.0,105.5
921,134.0,106.47
922,151.0,103.66
923,210.0,154.86
924,129.0,106.61
925,198.0,161.69
926,150.0,124.92
927,163.0,96.03
928,148.0,123.41
929,156.0,102.83
930,236.0,173.95
931,161.0,112.22
932,155.0,101.39
933,129.0,101.82
934,147.0,124.48
935,161.0,141.15
936,215.0,163.53
937,156.0,149.44
938,135.0,92.95
939,139.0,101.35
940,251.0,177.03
941,200.0,138.78
942,155.0,111.0
943,163.0,111.08
944,215.0,149.71
945,129.0,94.25
946,68.0,51.36
947,147.0,136.87
948,214.0,152.94
949,133.0,107.6
950,160.0,141.06
951,141.0,114.89
952,146.0,126.81
953,154.0,114.04
954,78.0,67.81
955,150.0,112.91
956,249.0,181.52
957,156.0,109.39
958,140.0,102.83
959,248.0,170.93
960,118.0,96.83
961,204.0,164.36
962,141.0,111.66
963,135.0,99.24
964,154.0,108.61
965,172.0,129.09
966,127.0,121.6
967,226.0,157.64
968,168.0,145.3
969,212.0,164.98
970,136.0,124.22
971,146.0,131.83
972,127.0,109.31
973,167.0,140.64
974,189.0,159.45
975,207.0,145.07
976,166.0,103.06
977,149.0,102.79
978,143.0,121.59
979,143.0,111.25
980,233.0,172.36
981,155.0,119.19
982,146.0,101.63
983,167.0,123.67
984,156.0,107.86
985,206.0,165.29
986,137.0,101.7
987,138.0,97.37
988,144.0,119.79
989,144.0,110.17
990,157.0,113.99
991,101.0,83.37
992,69.0,49.03
993,91.0,85.2
994,162.0,134.21
995,144.0,99.83
996,235.0,178.98
997,142.0,132.45
998,191.0,153.94
999,185.0,141.19
1000,102.0,72.79
1001,133.0,124.96
1002,150.0,110.65
1003,135.0,105.62
1004,142.0,107.18
1005,244.0,165.94
1006,138.0,109.88
1007,212.0,156.43
1008,140.0,97.83
1009,216.0,164.71
1010,78.0,62.36
1011,234.0,170.73
1012,103.0,99.27
1013,95.0,80.02
1014,138.0,105.47
1015,186.0,165.76
1016,140.0,111.09
